Date,Bill Id,Customer Name,Phone Number,Item Id,Item Name,Quantity,Price,Total Price of Item,Total Amt. To Pay,Amt. Received,Pending Amt.,Return
2024-11-23 17:08,KTM241100,dasham,1234567890.0,L1,LOUVER,21.0,₹12.00,₹252.00,₹253.00,₹253.00,₹0.00,0.0
2024-11-23 17:08,KTM241100,dasham,1234567890.0,L7,LOUVER,1.0,₹1.00,₹1.00,₹253.00,₹253.00,₹0.00,0.0
,,,,,,,,,,,,
2024-11-30 14:46,KTM241101,cl,1234567890.0,L1,LOUVER,16.0,₹12.00,₹192.00,₹192.00,₹190.00,₹2.00,0.0
,,,,,,,,,,,,
2024-11-30 18:17,KTM241102,crud,1234567890.0,L4,LOUVER,1.0,₹1.00,₹1.00,₹6.00,₹6.00,₹0.00,0.0
2024-11-30 18:17,KTM241102,crud,1234567890.0,L1,LOUVER,2.0,₹2.00,₹4.00,₹6.00,₹6.00,₹0.00,0.0
2024-11-30 18:17,KTM241102,crud,1234567890.0,L7,LOUVER,1.0,₹1.00,₹1.00,₹6.00,₹6.00,₹0.00,0.0
,,,,,,,,,,,,
2024-12-04 09:39,KTM241203,hw,1234567890.0,L1,LOUVER,1.0,₹1.00,₹1.00,₹15.00,₹15.00,₹0.00,0.0
2024-12-04 09:39,KTM241203,hw,1234567890.0,L4,LOUVER,1.0,₹1.00,₹1.00,₹15.00,₹15.00,₹0.00,0.0
2024-12-04 09:39,KTM241203,hw,1234567890.0,L25,LOUVER,1.0,₹1.00,₹1.00,₹15.00,₹15.00,₹0.00,0.0
2024-12-04 09:39,KTM241203,hw,1234567890.0,L2,LOUVER,11.0,₹1.00,₹11.00,₹15.00,₹15.00,₹0.00,0.0
2024-12-04 09:39,KTM241203,hw,1234567890.0,L7,LOUVER,1.0,₹1.00,₹1.00,₹15.00,₹15.00,₹0.00,0.0
,,,,,,,,,,,,
2025-01-10 17:21,KTM250104,don,1234567890,L1,LOUVER,1.0,₹1.00,₹1.00,₹106.00,₹100.00,₹6.00,0
2025-01-10 17:21,KTM250104,don,1234567890,L4,LOUVER,12.0,₹2.00,₹24.00,₹106.00,₹100.00,₹6.00,0
2025-01-10 17:21,KTM250104,don,1234567890,L25,LOUVER,9.0,₹9.00,₹81.00,₹106.00,₹100.00,₹6.00,0
,,,,,,,,,,,,
